ID	summary	Mean	Median
NCBI_Build	GRCh37	NA	NA
Center	.	NA	NA
Samples	54	NA	NA
nGenes	521	NA	NA
Frame_Shift_Del	93	1.722	2
Frame_Shift_Ins	80	1.481	1
Missense_Mutation	401	7.426	7
Nonsense_Mutation	21	0.389	0
Nonstop_Mutation	1	0.019	0
Splice_Site	13	0.241	0
Translation_Start_Site	2	0.037	0
total	611	11.315	10
