ID	summary	Mean	Median
NCBI_Build	GRCh37	NA	NA
Center	.	NA	NA
Samples	110	NA	NA
nGenes	829	NA	NA
Frame_Shift_Del	213	1.936	2
Frame_Shift_Ins	179	1.627	1
Missense_Mutation	666	6.055	5
Nonsense_Mutation	35	0.318	0
Nonstop_Mutation	1	0.009	0
Splice_Site	30	0.273	0
Translation_Start_Site	2	0.018	0
total	1126	10.236	9
