ID	summary	Mean	Median
NCBI_Build	GRCh37	NA	NA
Center	.	NA	NA
Samples	107	NA	NA
nGenes	605	NA	NA
Frame_Shift_Del	32	0.299	0
Frame_Shift_Ins	37	0.346	0
Missense_Mutation	704	6.579	6
Nonsense_Mutation	37	0.346	0
Nonstop_Mutation	2	0.019	0
Splice_Site	18	0.168	0
Translation_Start_Site	2	0.019	0
total	832	7.776	7
